***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,GCACFG,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,950,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1650,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,300,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,16,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,32.99,,,,,,System Temp (C):,22.64,,,,,,,
Humidity (%):,65.6,,,,,,Humidity (%):,32.0,,,,,,
Battery Capacity (%):,97,,,,,,Lamp Indicator:,845,,,,,,,
Lamp ADC:,3053,3075,848,837,,,Data Date-Time:,23/1/6T19:6:26
Data Date-Time:,24/10/4T11:51:48,,,,,,,,,,,,,,
Total Measurement Time in sec:,7.346,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-3.7796363779115723,0.038358433248661464,-9.420811808630703E-5,,,,,
Serial Number:,B50R085,95UB123GC0VB50R085,,,,,Pixel to Wavelength Coefficients:,1759.08742666362,-0.9236467962778762,-2.4101105395423096E-4,,,,,
APP Version:,2.18.18,,,,,,,,,,,,,
TIVA Version:,2.6.3,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,DE:67:0C:88:67:45:81:21,,,,,,Total Time(HH:MM:SS):,5hr 11min 55sec ,,,,,,,
Main Board Version:,F,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,C,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x0000000000000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1181.1462359596148,1.7061769,554272.0,10903
1183.5203797161143,1.7056704,558145.0,10992
1185.8925953841826,1.7074797,561852.0,11019
1188.262882963819,1.7076132,565391.0,11085
1191.8146991674644,1.7091852,571690.0,11168
1194.1801665260218,1.7083385,575941.0,11273
1196.5437057961474,1.7072021,580245.0,11387
1198.9053169778413,1.70861,584532.0,11434
1201.265000071104,1.709489,589097.0,11500
1203.6227550759347,1.7111223,593939.0,11551
1205.978581992334,1.7099663,598873.0,11678
1208.3324808203015,1.7070293,603496.0,11848
1210.6844515598373,1.7080377,607809.0,11905
1213.0344942109416,1.7080075,613076.0,12009
1215.3826087736143,1.7073069,618204.0,12129
1217.7287952478553,1.7080492,623193.0,12206
1220.0730536336646,1.7093346,628420.0,12272
1222.4153839310425,1.7103529,633642.0,12345
1225.9252642112997,1.7100265,641680.0,12511
1228.2627742875984,1.7099175,647262.0,12623
1230.5983562754654,1.7085086,652781.0,12772
1232.9320101749008,1.7088705,658236.0,12868
1235.2637359859045,1.7093333,663700.0,12961
1237.5935337084766,1.7113492,669103.0,13006
1239.9214033426172,1.7098213,674443.0,13156
1242.247344888326,1.7109866,680984.0,13248
1244.5713583456031,1.7092648,687659.0,13431
1246.893443714449,1.7082111,694471.0,13597
1249.2136009948626,1.7098783,701039.0,13673
1251.5318301868451,1.707723,707364.0,13865
1253.8481312903957,1.7072746,713718.0,14004
1257.3189677799123,1.7054567,723628.0,14258
1259.630448662384,1.7070131,729995.0,14332
1261.940001456424,1.7083924,735996.0,14404
1264.2476261620325,1.7083704,741988.0,14522
1266.553322779209,1.709205,747869.0,14609
1268.857091307954,1.7072545,753640.0,14788
1271.1589317482676,1.7079402,759680.0,14883
1273.4588441001492,1.7080635,765563.0,14994
1275.7568283635997,1.7064618,771291.0,15162
1278.052884538618,1.7078,776835.0,15224
1280.347012625205,1.7080284,782196.0,15321
1282.6392126233602,1.7069306,787147.0,15457
1284.9294845330837,1.7062901,792038.0,15576
1288.36127723186,1.7060571,799389.0,15729
1290.6467289205045,1.7073494,804422.0,15781
1292.9302525207174,1.7035073,808705.0,16006
1295.2118480324987,1.7042834,812834.0,16059
1297.4915154558485,1.7053217,816809.0,16099
1299.7692547907664,1.705576,821501.0,16182
